Validation,Normalization,Model,Threshold,Consecutive_Hits,Early_Tol_Frac,Late_Tol_Frac,Base_T_tol_early_Frac,Base_T_tol_late_Frac,Base_T_far_early_Frac,Base_T_far_late_Frac,Score,MAE,Mean_Delta,Missed_Alerts,Tol_Early_Rate,Tol_Late_Rate,Far_Early_Rate,Far_Late_Rate
K-Fold (5),MinMax,Logistic Regression,0.65,2,0.1,0.12,0.12,0.08,0.06,0.03,177.17090867996532,10.937499999999998,0.6249999999999991,0,18.8%,56.2%,18.8%,6.2%
K-Fold (5),Z-Score,Logistic Regression,0.6,2,0.06,0.12,0.12,0.08,0.06,0.03,177.27882573561035,10.625,-0.32499999999999973,0,6.2%,56.2%,31.2%,6.2%
K-Fold (5),Z-Score,Logistic Regression,0.65,2,0.08,0.12,0.12,0.08,0.06,0.03,177.74090965928298,10.812499999999998,0.7499999999999991,0,12.5%,56.2%,25.0%,6.2%
K-Fold (5),Z-Score,Logistic Regression,0.65,2,0.06,0.12,0.12,0.08,0.06,0.03,179.34551656019045,10.812499999999998,0.7499999999999991,0,6.2%,56.2%,31.2%,6.2%
K-Fold (5),MinMax,Logistic Regression,0.65,2,0.08,0.12,0.12,0.08,0.06,0.03,179.56160631463013,10.937499999999998,0.6249999999999991,0,12.5%,56.2%,25.0%,6.2%
K-Fold (5),MinMax,Logistic Regression,0.65,2,0.06,0.12,0.12,0.08,0.06,0.03,181.16621321553762,10.937499999999998,0.6249999999999991,0,6.2%,56.2%,31.2%,6.2%
Hold-out,MinMax,XGBoost,0.6,3,0.06,0.08,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,MinMax,XGBoost,0.6,3,0.06,0.12,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,Z-Score,XGBoost,0.6,3,0.06,0.08,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,Z-Score,XGBoost,0.6,3,0.08,0.08,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,MinMax,XGBoost,0.6,3,0.06,0.1,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,Z-Score,XGBoost,0.6,3,0.08,0.1,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,Z-Score,XGBoost,0.6,3,0.08,0.12,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,Z-Score,XGBoost,0.6,3,0.1,0.08,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,Z-Score,XGBoost,0.6,3,0.06,0.1,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,Z-Score,XGBoost,0.6,3,0.1,0.1,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,MinMax,XGBoost,0.6,3,0.1,0.12,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,MinMax,XGBoost,0.6,3,0.1,0.1,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,MinMax,XGBoost,0.6,3,0.1,0.08,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,MinMax,XGBoost,0.6,3,0.08,0.12,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,MinMax,XGBoost,0.6,3,0.08,0.1,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,MinMax,XGBoost,0.6,3,0.08,0.08,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,Z-Score,XGBoost,0.6,3,0.1,0.12,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,Z-Score,XGBoost,0.6,3,0.06,0.12,0.12,0.08,0.06,0.03,185.69759000006624,8.85625,-7.243749999999999,0,37.5%,25.0%,37.5%,0.0%
Hold-out,MinMax,Gradient Boosting,0.5,5,0.1,0.1,0.12,0.08,0.06,0.03,187.38567760790318,8.368749999999999,-7.318749999999998,0,50.0%,18.8%,31.2%,0.0%
Hold-out,MinMax,Gradient Boosting,0.5,5,0.1,0.08,0.12,0.08,0.06,0.03,187.38567760790318,8.368749999999999,-7.318749999999998,0,50.0%,18.8%,31.2%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.5,5,0.1,0.12,0.12,0.08,0.06,0.03,187.38567760790318,8.368749999999999,-7.318749999999998,0,50.0%,18.8%,31.2%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.5,5,0.1,0.1,0.12,0.08,0.06,0.03,187.38567760790318,8.368749999999999,-7.318749999999998,0,50.0%,18.8%,31.2%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.5,5,0.1,0.08,0.12,0.08,0.06,0.03,187.38567760790318,8.368749999999999,-7.318749999999998,0,50.0%,18.8%,31.2%,0.0%
Hold-out,MinMax,Gradient Boosting,0.5,5,0.1,0.12,0.12,0.08,0.06,0.03,187.38567760790318,8.368749999999999,-7.318749999999998,0,50.0%,18.8%,31.2%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.5,5,0.08,0.12,0.12,0.08,0.06,0.03,190.45142988560826,8.368749999999999,-7.318749999999998,0,43.8%,18.8%,37.5%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.5,5,0.08,0.08,0.12,0.08,0.06,0.03,190.45142988560826,8.368749999999999,-7.318749999999998,0,43.8%,18.8%,37.5%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.5,5,0.08,0.1,0.12,0.08,0.06,0.03,190.45142988560826,8.368749999999999,-7.318749999999998,0,43.8%,18.8%,37.5%,0.0%
